FID;Shape *;AU_Unidad;Tramo;T1;T2;T3;T4;T5;T6;T7;T8;T9;sector;km2;Franja;F1;F2;F3;F4;nearX;nearY;COUNT_AVEN;LINK_2010;RC_DistAU;RCD_AUInv;RC_DistAV;RC_DistSb;RC_DistEV;RC_DistAc;RCD_ACInv;RC_PCol_H;LINK__2011;DENS10;POB10;VARON;MUJER;VIV10;HOG10;NBI10;NBI_H10;NO_VIV10;Z_NBI10;Z_BARON;Z_MUJER;Z_NBIH10;Z_NEDU10;Z_DESO10;Z_OCUP10;Z_INMI10;Z_NTEN10;NO_EDU10;DESOC10;OCUP10;INMIG10;NO_TEN10;HA_RC;MENOR17;PEA65;ADULTMAY;Z_MENOR17;Z_PEA65;Z_ADULTMAY;VIV1HOG;VIVMAS1HOG;NBI10_HA;INMIG10_HA;NO_TEN10_HA
554;Point;555;2;0;1;0;0;0;0;0;0;0;SUR;0,014011;1;1;0;0;0;106871,687;99701,78674;0;20012906;925,291757;0,00108074;180,818793;795,272836;204,375347;925,291757;0,00108074;1;20012906;301,829268;990;493;497;349;323;14,9872;7,0091;7,9921;0,015139;0,49798;0,50202;0,0217;0,034268;0,0392;0,7127;0,1182;0,0991;33,925231;38,808;705,573;117,018;32,0093;3,278327;226;710;54;0,228283;0,717172;0,054545;316;3;4,571600087;35,69442585;9,763913118
1171;Point;1221;1;1;0;0;0;0;0;0;0;0;NORTE;0,016975;4;0;0;0;1;107813,5329;101367,5152;1;20011511;293,148318;0,003411242;65,169103;232,694506;188,936658;293,148318;0,003411242;1;20011511;325,882353;554;276;278;270;281;108,9999;10,0036;84,996;0,196751;0,498195;0,501805;0,0356;0,038817;0,0435;0,7711;0,2112;0,1423;21,504624;24,099;427,1894;117,0048;39,9863;1,695077;82;409;63;0,148014;0,738267;0,113718;231;6;64,30380449;69,02624483;23,58966584
1274;Point;1324;2;0;1;0;0;0;0;0;0;0;NORTE;0,016744;4;0;0;0;1;107402,524;101976,5026;0;20011702;806,822743;0,00123943;119,246379;236,974998;72,857763;806,822743;0,00123943;0;20011702;391,071429;657;328;329;467;303;88,9911;12,9987;72,9921;0,135451;0,499239;0,500761;0,0429;0,028526;0,037;0,7727;0,3227;0,1551;18,741681;24,309;507,6639;212,0139;46,9953;1,67518;106;484;67;0,161339;0,736682;0,101979;270;11;53,12330615;126,561862;28,05388078
30;Point;31;9;0;0;0;0;0;0;0;0;1;SUR;0,018028;1;1;0;0;0;101086,8608;98249,97424;1;20071607;816,748485;0,001224367;69,194343;803,571284;87,207856;847,174414;0,001180394;1;20071607;102,267819;947;473;474;336;320;8,992;2,016;2,9904;0,009495;0,499472;0,500528;0,0063;0,040261;0,0424;0,6516;0,1785;0,1094;38,127309;40,1528;617,0652;169,0395;35,008;9,256478;191;609;147;0,20169;0,643083;0,155227;275;17;0,971427794;18,26175139;3,782000022
49;Point;50;9;0;0;0;0;0;0;0;0;1;SUR;0,013443;1;1;0;0;0;101178,5496;98342,73265;1;20071607;814,384469;0,001227921;55,228099;818,601595;217,418649;814,384469;0,001227921;1;20071607;102,267819;947;473;474;336;320;8,992;2,016;2,9904;0,009495;0,499472;0,500528;0,0063;0,040261;0,0424;0,6516;0,1785;0,1094;38,127309;40,1528;617,0652;169,0395;35,008;9,256478;191;609;147;0,20169;0,643083;0,155227;275;17;0,971427794;18,26175139;3,782000022
61;Point;62;9;0;0;0;0;0;0;0;0;1;SUR;0,012161;1;1;0;0;0;101086,7188;98422,62349;1;20071607;696,238824;0,001436289;49,53037;698,115488;208,763884;697,055954;0,001434605;1;20071607;102,267819;947;473;474;336;320;8,992;2,016;2,9904;0,009495;0,499472;0,500528;0,0063;0,040261;0,0424;0,6516;0,1785;0,1094;38,127309;40,1528;617,0652;169,0395;35,008;9,256478;191;609;147;0,20169;0,643083;0,155227;275;17;0,971427794;18,26175139;3,782000022
71;Point;72;9;0;0;0;0;0;0;0;0;1;SUR;0,023934;1;1;0;0;0;101284,3669;98454,35278;2;20071607;741,553642;0,00134852;97,961153;761,209128;370,753151;771,071888;0,001296896;1;20071607;102,267819;947;473;474;336;320;8,992;2,016;2,9904;0,009495;0,499472;0,500528;0,0063;0,040261;0,0424;0,6516;0,1785;0,1094;38,127309;40,1528;617,0652;169,0395;35,008;9,256478;191;609;147;0,20169;0,643083;0,155227;275;17;0,971427794;18,26175139;3,782000022
76;Point;77;9;0;0;0;0;0;0;0;0;1;SUR;0,003148;1;1;0;0;0;101149,5631;98534,15055;0;20071607;640,532374;0,001561201;76,928732;677,479201;336,507225;640,532374;0,001561201;1;20071607;102,267819;947;473;474;336;320;8,992;2,016;2,9904;0,009495;0,499472;0,500528;0,0063;0,040261;0,0424;0,6516;0,1785;0,1094;38,127309;40,1528;617,0652;169,0395;35,008;9,256478;191;609;147;0,20169;0,643083;0,155227;275;17;0,971427794;18,26175139;3,782000022
84;Point;85;9;0;0;0;0;0;0;0;0;1;SUR;0,002906;1;1;0;0;0;101184,0504;98569,87276;0;20071607;624,057777;0,001602416;79,409045;640,377568;385,267321;624,057777;0,001602416;0;20071607;102,267819;947;473;474;336;320;8,992;2,016;2,9904;0,009495;0,499472;0,500528;0,0063;0,040261;0,0424;0,6516;0,1785;0,1094;38,127309;40,1528;617,0652;169,0395;35,008;9,256478;191;609;147;0,20169;0,643083;0,155227;275;17;0,971427794;18,26175139;3,782000022
92;Point;93;9;0;0;0;0;0;0;0;0;1;SUR;0,018932;1;1;0;0;0;101198,8238;98527,24978;2;20071607;669,069281;0,001494614;101,229434;682,941272;359,890093;669,069281;0,001494614;1;20071607;102,267819;947;473;474;336;320;8,992;2,016;2,9904;0,009495;0,499472;0,500528;0,0063;0,040261;0,0424;0,6516;0,1785;0,1094;38,127309;40,1528;617,0652;169,0395;35,008;9,256478;191;609;147;0,20169;0,643083;0,155227;275;17;0,971427794;18,26175139;3,782000022
